frame,track_id,centroid_x_m,centroid_y_m,bottom_x_m,bottom_y_m,delta_x,delta_y,alt_cx_m,alt_cy_m,delta_alt_x,delta_alt_y
220,1,1.844,6.042,2.316,6.372,0.012,0.009,1.789,6.002,0.011,0.008
221,4,1.088,6.044,1.496,6.285,0.01,0.003,0.948,5.961,-0.086,-0.056
221,1,1.846,6.042,2.316,6.372,0.002,0.0,1.789,6.001,-0.0,-0.0
222,1,1.847,6.041,2.32,6.368,0.001,-0.0,1.782,5.993,-0.007,-0.008
222,4,1.085,6.043,1.512,6.288,-0.003,-0.001,1.084,6.046,0.136,0.085
222,2,1.857,6.049,2.271,6.324,0.168,-0.023,1.911,6.086,0.264,0.039
223,1,1.842,6.036,2.318,6.37,-0.005,-0.005,1.783,5.992,0.002,-0.002
223,4,1.09,6.047,1.512,6.288,0.005,0.004,1.039,6.019,-0.045,-0.028
223,2,1.845,6.038,2.257,6.331,-0.012,-0.01,1.903,6.084,-0.008,-0.002
224,4,1.084,6.041,1.494,6.276,-0.006,-0.006,1.104,6.058,0.065,0.039
224,1,1.829,6.026,2.32,6.368,-0.013,-0.01,1.761,5.973,-0.023,-0.018
224,2,1.838,6.032,2.257,6.331,-0.007,-0.006,1.901,6.083,-0.002,-0.002
