frame,track_id,centroid_x_m,centroid_y_m,bottom_x_m,bottom_y_m,delta_x,delta_y,alt_cx_m,alt_cy_m,delta_alt_x,delta_alt_y
105,3,-5.286,-8.642,0.738,-1.837,-0.342,-0.493,-16.353,-21.162,-4.65,-5.286
105,1,-9.644,-16.262,-1.119,-5.421,-0.735,-1.059,-18.297,-26.915,-3.491,-4.279
106,2,-1.354,-2.121,2.694,1.567,-0.379,-0.458,-6.815,-6.852,-1.38,-1.06
106,1,-11.455,-18.684,-2.125,-6.632,-1.812,-2.423,-25.114,-36.13,-6.817,-9.216
106,3,-5.117,-8.664,0.728,-1.993,0.17,-0.022,-15.038,-20.052,1.315,1.11
107,2,-1.611,-2.485,2.547,1.35,-0.257,-0.363,-7.894,-8.243,-1.079,-1.391
107,3,-5.563,-9.306,0.52,-2.351,-0.446,-0.642,-15.165,-20.489,-0.127,-0.437
107,1,-12.101,-19.622,-2.817,-7.723,-0.646,-0.938,-23.211,-33.977,1.904,2.153
108,2,-1.719,-2.872,2.397,0.949,-0.107,-0.387,-6.899,-7.512,0.995,0.731
108,3,-5.467,-9.333,0.368,-2.467,0.096,-0.027,-15.052,-20.593,0.114,-0.104
108,1,-13.142,-21.018,-3.427,-8.255,-1.04,-1.395,-23.578,-34.372,-0.367,-0.395
109,2,-1.745,-3.03,2.327,0.985,-0.026,-0.159,-8.725,-9.532,-1.826,-2.02
109,3,-5.69,-9.722,0.192,-2.754,-0.223,-0.389,-15.595,-21.289,-0.543,-0.696
109,1,-15.325,-24.043,-2.079,-7.311,-2.183,-3.025,-27.196,-39.608,-3.618,-5.236
110,2,-2.096,-3.527,2.233,0.799,-0.35,-0.497,-10.469,-11.482,-1.744,-1.95
110,3,-6.113,-10.356,0.015,-3.481,-0.424,-0.634,-14.306,-20.167,1.288,1.121
110,1,-15.669,-24.626,-1.885,-7.09,-0.345,-0.583,-25.087,-37.077,2.109,2.531
111,2,-2.35,-3.983,2.036,0.51,-0.254,-0.456,-9.754,-11.045,0.715,0.438
111,3,-6.668,-11.202,-0.114,-3.594,-0.554,-0.846,-15.845,-21.876,-1.539,-1.708
111,1,-14.634,-23.537,-1.778,-6.925,1.036,1.089,-30.097,-43.882,-5.01,-6.805
